Unnamed: 0,1_김포교통(기점가상),2_방화도시7단지.국립국어원,3_방화역,4_한서고등학교.보람아파트,5_국민은행방화동지점,6_방화2동우촌연립,7_방화2동청성아파트앞,8_공항시장역.공항성산교회,9_공항시장,10_송정역,11_공항중학교.마곡엠밸리9.10단지,12_마곡역,13_마곡동로사거리,14_발산역,15_한국가스기술공사,16_KBS스포츠월드,17_강서구청사거리.서울디지털대학교,18_등촌중학교.한국임업진흥원,19_영일고등학교.강서도서관,20_아이파크아파트.백석중학교.실로암안과,21_등촌2동주민센터.등촌동대림아파트,22_대일고교.임광아파트.배광교회,23_용문사.시립화곡청소년센터,24_목동사거리,25_목동역.홍익병원,26_진명여고,27_서울남부지방법원.서울남부지방검찰청,28_갈산초등학교정문,29_기업은행구로중앙지점,30_구로역.구로기계공구상가,31_구로역.NC신구로점,32_구로구청후문,33_구로중학교,34_대림역,35_대림역12번출구,36_대동초등학교.명지성모병원,37_대림동우성아파트,38_신길5동새마을금고우리시장,39_신풍역,40_래미안에스티움,41_영진시장,42_보라매역,43_서울공업고등학교,44_대림초등학교,45_성대시장,46_상도초등학교입구,47_청화병원,48_동작구청.노량진초등학교앞,49_노량진역,50_노들역,51_노들역,52_사육신공원,53_노량진역,54_동작구청.노량진초등학교앞,55_장성교회,56_장승배기역,57_상도초등학교입구,58_성대시장,59_대림초등학교,60_서울공업고등학교,61_보라매역.5번출구,62_영진시장,63_래미안에스티움,64_신풍역,65_신길5동새마을금고,66_대림동우성아파트,67_대동초등학교.명지성모병원,68_대림역,69_대림역,70_구로중학교,71_구로구청,72_구로역.NC신구로점,73_구로역.구로기계공구상가,74_기업은행구로중앙지점,75_갈산초등학교정문,76_서울남부지방법원.서울남부지방검찰청,77_진명여고,78_목동역.홍익병원,79_홍익병원목동관,80_목동사거리,81_영도중.강서고입구.기아양서대리점,82_목동시장.대일고교.배광교회,83_목동성원아파트,84_목3동주민센터.현대아이파크.실로암안과,85_목3동시장.강서도서관,86_등촌중학교백석초등학교,87_강서구청사거리.서울디지털대학교,88_KBS스포츠월드,89_한국가스기술공사,90_발산역,91_마곡동로사거리,92_마곡역,93_공항중학교.마곡엠밸리9.10단지,94_송정역,95_공항시장,96_공항시장역3번출구,97_방화주유소,98_방신전통시장,99_국민은행방화동지점,100_한서고등학교.보람아파트,101_방화역,102_방화3동주민센터.국립국어원,103_김포교통(종점가상),12_강서세무서,13_마곡역,14_마곡동로사거리,15_발산역,16_한국가스기술공사,17_KBS스포츠월드,18_강서구청사거리.서울디지털대학교,19_등촌중학교.한국임업진흥원,20_영일고등학교.강서도서관,21_아이파크아파트.백석중학교.실로암안과,22_등촌2동주민센터.등촌동대림아파트,23_대일고교.임광아파트.배광교회,24_용문사.시립화곡청소년센터,25_목동사거리,26_목동역.홍익병원,27_진명여고,28_서울남부지방법원.서울남부지방검찰청,29_갈산초등학교정문,30_기업은행구로중앙지점,31_구로역.구로기계공구상가,32_구로역.NC신구로점,33_구로구청후문,34_구로중학교,35_대림역,36_대림역12번출구,37_대동초등학교.명지성모병원,38_대림동우성아파트,39_신길5동새마을금고우리시장,40_신풍역,41_래미안에스티움,42_영진시장,43_보라매역,44_서울공업고등학교,45_대림초등학교,46_성대시장,47_상도초등학교입구,48_청화병원,49_동작구청.노량진초등학교앞,50_노량진역,52_노들역,53_사육신공원,54_노량진역,55_동작구청.노량진초등학교앞,56_장성교회,57_장승배기역,58_상도초등학교입구,59_성대시장,60_대림초등학교,61_서울공업고등학교,62_보라매역.5번출구,63_영진시장,64_래미안에스티움,65_신풍역,66_신길5동새마을금고,67_대림동우성아파트,68_대동초등학교.명지성모병원,70_대림역,71_구로중학교,72_구로구청,73_구로역.NC신구로점,74_구로역.구로기계공구상가,75_기업은행구로중앙지점,76_갈산초등학교정문,77_서울남부지방법원.서울남부지방검찰청,78_진명여고,79_목동역.홍익병원,80_홍익병원목동관,81_목동사거리,82_영도중.강서고입구.기아양서대리점,83_목동시장.대일고교.배광교회,84_목동성원아파트,85_목3동주민센터.현대아이파크.실로암안과,86_목3동시장.강서도서관,87_등촌중학교백석초등학교,88_강서구청사거리.서울디지털대학교,89_KBS스포츠월드,90_한국가스기술공사,91_발산역,92_마곡동로사거리,93_마곡역,94_강서세무서,95_공항중학교.마곡엠밸리9.10단지,96_송정역,97_공항시장,98_공항시장역3번출구,99_방화주유소,100_방신전통시장,101_국민은행방화동지점,102_한서고등학교.보람아파트,103_방화역,104_방화3동주민센터.국립국어원,105_김포교통(종점가상)
2022-03-29 09:00:00,0,3,5,7,8,9,11,15,15,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,19.0,16.0,14.0,14.0,17.0,16.0,10.0,11.0,14.0,20.0,22.0,25.0,36.0,37.0,39.0,37.0,37.0,25.0,18.0,16.0,11.0,10.0,10.0,8.0,10.0,5.0,8.0,6.0,8.0,8.0,7.0,8.0,10.0,17.0,29.0,27.0,20.0,4.0,0.0,0.0,1.0,0.0,2.0,3.0,5.0,4.0,4.0,2.0,7.0,9.0,8.0,10.0,14.0,18.0,15.0,14.0,16.0,21.0,23.0,24.0,25.0,23.0,21.0,13.0,22.0,17.0,18.0,23.0,19.0,21.0,26.0,28.0,28.0,30.0,29.0,27.0,18.0,13.0,11.0,7.0,6.0,9.0,8.0,8.0,8.0,6.0,7.0,6.0,3.0,0.0,0.0
2022-03-29 10:00:00,0,1,3,4,9,10,11,13,13,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,14.0,11.0,12.0,15.0,14.0,14.0,11.0,12.0,11.0,11.0,12.0,16.0,20.0,18.0,18.0,16.0,15.0,14.0,12.0,10.0,8.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,6.0,7.0,8.0,8.0,8.0,10.0,12.0,11.0,11.0,2.0,3.0,0.0,1.0,2.0,3.0,2.0,3.0,4.0,6.0,5.0,7.0,7.0,7.0,4.0,7.0,13.0,11.0,10.0,11.0,16.0,17.0,16.0,15.0,13.0,13.0,14.0,15.0,14.0,16.0,19.0,21.0,23.0,27.0,23.0,20.0,17.0,20.0,19.0,16.0,14.0,13.0,11.0,10.0,8.0,7.0,7.0,8.0,3.0,3.0,2.0,2.0,0.0,0.0
2022-03-29 11:00:00,0,2,4,5,6,5,8,12,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,12.0,12.0,14.0,14.0,13.0,12.0,11.0,10.0,12.0,12.0,13.0,17.0,17.0,20.0,23.0,24.0,23.0,14.0,11.0,10.0,7.0,6.0,5.0,8.0,7.0,7.0,6.0,7.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,3.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,6.0,11.0,10.0,11.0,14.0,13.0,14.0,9.0,15.0,12.0,11.0,14.0,16.0,17.0,15.0,16.0,18.0,19.0,22.0,21.0,14.0,9.0,11.0,9.0,8.0,7.0,5.0,7.0,6.0,8.0,5.0,4.0,4.0,1.0,0.0,0.0
2022-03-29 12:00:00,0,2,4,5,8,9,8,8,7,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,14.0,16.0,17.0,20.0,20.0,18.0,17.0,17.0,17.0,20.0,16.0,19.0,20.0,16.0,19.0,20.0,22.0,16.0,11.0,15.0,16.0,17.0,16.0,13.0,10.0,9.0,10.0,8.0,5.0,7.0,8.0,7.0,6.0,8.0,7.0,9.0,8.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,0.0,3.0,6.0,8.0,9.0,8.0,9.0,13.0,12.0,11.0,11.0,15.0,13.0,17.0,19.0,18.0,17.0,16.0,13.0,12.0,13.0,12.0,14.0,13.0,16.0,18.0,15.0,11.0,15.0,15.0,13.0,12.0,12.0,10.0,9.0,8.0,8.0,7.0,6.0,5.0,5.0,3.0,2.0,0.0,0.0
2022-03-29 13:00:00,0,2,5,6,10,8,9,9,11,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,12.0,20.0,18.0,16.0,15.0,14.0,15.0,15.0,16.0,17.0,16.0,18.0,17.0,20.0,22.0,21.0,19.0,12.0,13.0,10.0,9.0,8.0,6.0,6.0,5.0,4.0,4.0,6.0,10.0,6.0,10.0,5.0,11.0,16.0,15.0,10.0,0.0,0.0,0.0,4.0,7.0,6.0,7.0,6.0,5.0,4.0,5.0,4.0,7.0,8.0,7.0,5.0,8.0,6.0,9.0,6.0,8.0,8.0,12.0,13.0,16.0,11.0,12.0,13.0,12.0,12.0,15.0,15.0,14.0,17.0,19.0,20.0,21.0,23.0,20.0,17.0,8.0,13.0,13.0,14.0,13.0,12.0,14.0,13.0,8.0,5.0,3.0,2.0,0.0,0.0
2022-03-29 14:00:00,0,2,7,6,8,10,9,13,14,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,16.0,14.0,18.0,19.0,21.0,23.0,0.0,21.0,16.0,17.0,15.0,15.0,17.0,18.0,18.0,17.0,16.0,16.0,13.0,12.0,8.0,7.0,10.0,10.0,9.0,8.0,6.0,7.0,6.0,6.0,5.0,7.0,8.0,8.0,6.0,4.0,3.0,2.0,2.0,0.0,3.0,4.0,5.0,5.0,3.0,6.0,7.0,8.0,9.0,10.0,4.0,7.0,7.0,7.0,11.0,14.0,14.0,15.0,13.0,15.0,15.0,15.0,14.0,12.0,14.0,15.0,18.0,21.0,22.0,23.0,22.0,24.0,24.0,28.0,28.0,23.0,18.0,17.0,17.0,13.0,13.0,13.0,8.0,13.0,11.0,8.0,3.0,2.0,1.0,0.0,0.0
2022-03-29 15:00:00,0,6,11,12,14,14,12,14,8,16,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,22.0,25.0,34.0,31.0,32.0,31.0,28.0,21.0,22.0,23.0,20.0,16.0,18.0,17.0,20.0,19.0,19.0,19.0,15.0,17.0,14.0,15.0,12.0,10.0,10.0,9.0,7.0,9.0,10.0,9.0,7.0,8.0,7.0,8.0,9.0,6.0,5.0,1.0,2.0,0.0,4.0,5.0,7.0,9.0,13.0,10.0,11.0,14.0,13.0,12.0,10.0,8.0,11.0,8.0,11.0,10.0,14.0,19.0,22.0,26.0,27.0,26.0,24.0,26.0,24.0,23.0,17.0,17.0,15.0,15.0,15.0,18.0,16.0,14.0,14.0,13.0,13.0,17.0,16.0,15.0,12.0,14.0,12.0,12.0,10.0,7.0,6.0,5.0,0.0,0.0,0.0
2022-03-29 16:00:00,0,3,4,6,7,0,8,9,10,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,19.0,22.0,24.0,26.0,42.0,39.0,20.0,34.0,32.0,28.0,48.0,48.0,40.0,33.0,28.0,22.0,19.0,19.0,19.0,21.0,22.0,20.0,17.0,19.0,21.0,18.0,15.0,15.0,10.0,9.0,8.0,7.0,7.0,8.0,7.0,5.0,4.0,1.0,4.0,0.0,7.0,10.0,11.0,15.0,12.0,8.0,6.0,9.0,11.0,11.0,9.0,14.0,13.0,18.0,17.0,15.0,15.0,18.0,20.0,21.0,23.0,23.0,21.0,34.0,44.0,39.0,27.0,24.0,22.0,22.0,24.0,25.0,22.0,21.0,24.0,22.0,19.0,15.0,20.0,20.0,14.0,13.0,18.0,19.0,17.0,12.0,10.0,9.0,5.0,0.0,0.0
2022-03-29 17:00:00,0,3,5,8,9,5,10,12,11,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,25.0,28.0,34.0,34.0,34.0,38.0,33.0,28.0,25.0,25.0,22.0,24.0,27.0,25.0,28.0,33.0,33.0,29.0,22.0,24.0,18.0,15.0,15.0,14.0,14.0,11.0,12.0,11.0,9.0,12.0,11.0,13.0,14.0,17.0,15.0,7.0,5.0,2.0,4.0,0.0,9.0,9.0,11.0,10.0,11.0,13.0,10.0,12.0,12.0,13.0,12.0,10.0,12.0,13.0,13.0,16.0,17.0,18.0,19.0,40.0,52.0,50.0,46.0,43.0,30.0,28.0,24.0,22.0,21.0,20.0,24.0,25.0,19.0,23.0,27.0,24.0,19.0,25.0,26.0,25.0,22.0,21.0,19.0,16.0,15.0,8.0,3.0,6.0,3.0,0.0,0.0
2022-03-29 18:00:00,0,1,4,5,12,13,13,15,16,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,29.0,34.0,41.0,49.0,50.0,46.0,42.0,40.0,36.0,41.0,38.0,34.0,35.0,34.0,36.0,41.0,40.0,35.0,29.0,29.0,27.0,27.0,26.0,28.0,27.0,25.0,22.0,19.0,17.0,16.0,15.0,13.0,9.0,9.0,14.0,11.0,10.0,1.0,5.0,1.0,41.0,41.0,39.0,36.0,30.0,28.0,11.0,11.0,12.0,11.0,9.0,12.0,16.0,17.0,17.0,17.0,21.0,41.0,26.0,36.0,46.0,45.0,41.0,35.0,52.0,44.0,34.0,27.0,28.0,31.0,34.0,31.0,27.0,30.0,29.0,24.0,21.0,23.0,28.0,29.0,26.0,25.0,22.0,18.0,15.0,11.0,7.0,4.0,3.0,0.0,0.0
2022-03-29 19:00:00,0,4,6,4,7,10,11,11,12,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,17.0,18.0,24.0,25.0,24.0,23.0,22.0,26.0,21.0,18.0,16.0,15.0,14.0,16.0,22.0,23.0,24.0,19.0,13.0,14.0,12.0,13.0,12.0,15.0,15.0,14.0,8.0,10.0,12.0,10.0,9.0,10.0,11.0,8.0,5.0,4.0,3.0,0.0,7.0,0.0,15.0,17.0,13.0,17.0,14.0,13.0,14.0,13.0,13.0,11.0,10.0,14.0,13.0,15.0,16.0,16.0,21.0,22.0,29.0,39.0,38.0,36.0,37.0,35.0,46.0,39.0,31.0,27.0,23.0,21.0,21.0,20.0,19.0,19.0,21.0,16.0,18.0,19.0,20.0,19.0,16.0,15.0,13.0,12.0,9.0,9.0,5.0,4.0,3.0,2.0,2.0
2022-03-29 20:00:00,0,1,3,2,7,6,8,5,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,16.0,24.0,27.0,25.0,20.0,19.0,20.0,16.0,14.0,12.0,14.0,14.0,13.0,18.0,13.0,18.0,16.0,15.0,9.0,6.0,4.0,5.0,10.0,8.0,7.0,6.0,9.0,8.0,8.0,7.0,10.0,8.0,5.0,5.0,7.0,7.0,1.0,2.0,0.0,8.0,6.0,4.0,9.0,8.0,9.0,10.0,12.0,12.0,10.0,8.0,9.0,9.0,7.0,11.0,14.0,15.0,20.0,20.0,27.0,30.0,27.0,25.0,23.0,26.0,25.0,19.0,17.0,15.0,12.0,9.0,14.0,13.0,15.0,18.0,17.0,18.0,23.0,23.0,7.0,21.0,17.0,15.0,13.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0
2022-03-29 21:00:00,0,2,3,2,3,4,1,6,0,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,18.0,25.0,27.0,26.0,26.0,25.0,24.0,19.0,15.0,13.0,11.0,11.0,12.0,15.0,14.0,14.0,14.0,12.0,15.0,10.0,12.0,9.0,7.0,10.0,7.0,4.0,9.0,5.0,4.0,6.0,8.0,5.0,6.0,3.0,4.0,3.0,2.0,2.0,0.0,6.0,6.0,8.0,9.0,9.0,8.0,7.0,9.0,7.0,8.0,7.0,9.0,5.0,10.0,10.0,9.0,9.0,11.0,10.0,19.0,20.0,21.0,20.0,19.0,23.0,19.0,19.0,17.0,13.0,12.0,10.0,8.0,5.0,4.0,9.0,11.0,9.0,12.0,10.0,8.0,8.0,7.0,5.0,6.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0
2022-03-29 22:00:00,0,2,3,0,4,5,0,7,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,14.0,29.0,31.0,28.0,25.0,24.0,26.0,22.0,20.0,19.0,20.0,19.0,20.0,25.0,30.0,26.0,24.0,12.0,20.0,18.0,14.0,13.0,13.0,11.0,10.0,10.0,8.0,6.0,9.0,6.0,7.0,6.0,4.0,5.0,3.0,1.0,0.0,1.0,3.0,5.0,5.0,7.0,6.0,8.0,8.0,11.0,10.0,9.0,7.0,6.0,8.0,4.0,7.0,7.0,12.0,12.0,11.0,12.0,21.0,23.0,18.0,17.0,19.0,20.0,17.0,15.0,13.0,12.0,12.0,12.0,11.0,9.0,15.0,14.0,14.0,12.0,13.0,14.0,13.0,10.0,12.0,10.0,8.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0
2022-03-29 23:00:00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,13.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,7.0,8.0,5.0,6.0,5.0,4.0,6.0,7.0,6.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,5.0,0.0,6.0,2.0,7.0,6.0,6.0,3.0,5.0,6.0,2.0,4.0,3.0,7.0,5.0,4.0,7.0,7.0,11.0,16.0,18.0,16.0,18.0,26.0,23.0,22.0,20.0,16.0,15.0,10.0,8.0,5.0,8.0,5.0,1.0,4.0,4.0,7.0,4.0,0.0,5.0,6.0,6.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0
2022-03-30 00:00:00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-30 01:00:00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-30 02:00:00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-30 03:00:00,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-30 04:00:00,0,1,2,2,6,8,10,14,5,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,19.0,18.0,20.0,19.0,17.0,20.0,20.0,23.0,25.0,6.0,26.0,26.0,29.0,30.0,32.0,33.0,32.0,25.0,15.0,13.0,10.0,9.0,5.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-30 05:00:00,0,0,1,1,2,2,1,3,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,3.0,4.0,5.0,5.0,6.0,7.0,7.0,8.0,15.0,15.0,16.0,13.0,14.0,16.0,15.0,8.0,15.0,10.0,8.0,8.0,5.0,6.0,5.0,4.0,5.0,9.0,10.0,6.0,10.0,9.0,2.0,3.0,11.0,12.0,11.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,6.0,7.0,6.0,8.0,6.0,5.0,8.0,10.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-30 06:00:00,0,2,1,0,3,5,4,5,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,7.0,3.0,9.0,5.0,8.0,6.0,7.0,11.0,18.0,17.0,18.0,20.0,20.0,21.0,24.0,24.0,16.0,10.0,8.0,7.0,6.0,3.0,3.0,2.0,0.0,3.0,2.0,5.0,2.0,4.0,2.0,3.0,7.0,9.0,9.0,3.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,3.0,5.0,6.0,0.0,4.0,7.0,5.0,7.0,11.0,10.0,10.0,9.0,13.0,14.0,13.0,14.0,13.0,10.0,13.0,10.0,4.0,11.0,10.0,15.0,16.0,14.0,12.0,11.0,14.0,14.0,13.0,10.0,9.0,6.0,4.0,3.0,0.0,0.0,5.0,6.0,5.0,0.0,4.0,2.0,0.0,0.0
2022-03-30 07:00:00,0,5,5,6,8,12,15,18,18,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,19.0,15.0,19.0,17.0,14.0,14.0,13.0,16.0,21.0,29.0,35.0,50.0,57.0,51.0,47.0,46.0,45.0,33.0,23.0,23.0,21.0,18.0,19.0,18.0,14.0,13.0,12.0,11.0,14.0,14.0,12.0,13.0,14.0,22.0,32.0,31.0,24.0,3.0,4.0,0.0,3.0,4.0,5.0,4.0,5.0,9.0,13.0,14.0,8.0,9.0,12.0,13.0,15.0,22.0,20.0,22.0,23.0,27.0,22.0,27.0,34.0,40.0,31.0,25.0,26.0,17.0,29.0,35.0,35.0,46.0,54.0,54.0,52.0,56.0,29.0,25.0,20.0,16.0,15.0,14.0,10.0,15.0,14.0,16.0,14.0,13.0,12.0,8.0,3.0,0.0,0.0
